Venue Id,Name,Likes,Rating,Tips
4c1a8bac8b3aa593a8c8955f,Dragon City,1,6.8,8
4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant,9,7.2,10
4c3f7f2eda3dc928b8f6c5b9,Peking Kitchen,9,7.8,2
4bfc652bf14fa593c1f5c9d4,City Island Chinese Resturant,6,6.4,4
566f33e7498e44c2501bda81,Panda Express,12,7.6,2
4c7e9ddafb13a1cdf5369ea4,El Pabelon De Oro,15,7.7,8
4b1c3b4cf964a520bb0424e3,Grand Sichuan House,37,8.3,24
4c65da95f7a80f47b6959c7a,Spicy Bampa,28,7.5,10
5a7f87920d173f267e27cc36,Golden City Seafood,10,8.0,4
4aece020f964a520f7cb21e3,Silver Star Restaurant,7,7.8,7
4bfaf805d0382d7f520ac90a,China Delight,9,8.1,7
51d868ac498ef583276dcf4b,Yun Nan Flavour Garden,94,7.7,44
4b46743ff964a520892126e3,"Golden ""Z"" Restaurant",9,7.6,6
4c1ad571eac020a10a0144c2,China Hao Restaurant,32,8.7,15
4c2fdd973896e21e87bfe490,Dynasty Chinese Restaurant,5,7.7,8
54e39b14498e9c646b42958e,East Wind Snack Shop,138,8.9,50
58df00318cfe546addb99246,Birds of a Feather,341,8.9,71
4cd4dd3e67adf04d8b102a91,Lee Good Taste,5,6.8,4
4b5a6114f964a52043c128e3,China New Star,58,8.9,19
4bedc857e24d20a17afc7114,Oriental Palace,4,6.7,5
59da9590e1f0aa52976b8f35,Han Dynasty,161,8.6,32
4d8151697c956dcb09cff27b,New Jin Shing Chinese Restuarant,6,7.2,4
4ee01ae9f7903c92cd2e0c6a,ChinaTokyo,5,7.0,8
4b512cbaf964a520f64527e3,ha ha chinese,4,7.5,4
4db3374590a0843f295fb69b,Spicy Village,500,8.2,179
4b292f38f964a520939a24e3,Yang Garden,6,7.7,2
54e52c00498ed1a732aa2037,The Handpulled Noodle,141,8.4,52
4bd1f6909854d13a38a2fa4d,88 Chinese Restaurant,9,7.8,4
4bf348fce5eba593c8711e90,Crispy Bamboo Village,10,7.8,2
5215797811d2f1217bb93475,RedFarm,470,8.6,129
4e3484038877beb5e9a22a0b,Café China,1046,8.8,273
5747a89b498ee4b7a5106556,DunHuang Lanzhou Beef Noodle,34,8.1,10
5747a89b498ee4b7a5106556,DunHuang Lanzhou Beef Noodle,34,8.1,10
5647ee82498e8bfc0ddef53d,Málà Project,436,8.7,91
5b380f649deb7d00399fdf9d,Kings County Imperial,67,9.2,10
4db3374590a0843f295fb69b,Spicy Village,500,8.2,179
529e3657498efb17e9c800b7,Xi'an Famous Foods,295,8.4,80
59ac42570868a23a1e0fde8f,Red Hot,10,8.4,1
58fbdc8fe0755067a6dcf3ee,108 Food- Dried Hot Pot,39,7.9,12
5a466fc5610f0447488800e2,Xi’an Famous Foods Central Kitchen,4,8.0,1
4eaf0752d3e30d448393b841,Lao Bei Fang,81,8.3,50
56296f14498edb1ed77b64a3,Five Loaves and Two Fishes,10,7.9,1
59cfd6697564f73b6b943326,H.K. Taste,8,7.9,2
4bca326b511f95210b4bafc7,Danny's Szechuan Garden,18,7.3,14
4ba57b0af964a5205f0b39e3,Empire Buffet,19,6.1,5
4c78756397028cfaec16d8fe,New Golden Szechuan Chinese Restaurant,11,8.0,4
4d1bcddc1356224bc6410abe,OK Ryan,48,8.8,19
4fa3f81be4b0a34ac673bf1e,Taipei Hong 台北夯,19,7.8,10
4faff7eae4b03b8055801cde,Xi'an Famous Foods,208,8.0,92
4ac38216f964a520929b20e3,Golden Shopping Mall,104,8.4,53
56316c73498ebdd0e0e53e95,Green Zenphony,19,7.8,7
4bfedc9bc30a2d7f1e1e101d,Ho Wan Restaurant,27,7.4,16
4d95179197d06ea8ab19e40a,Wing Wah Kitchen,4,6.3,3
4d8805b7d85f370481b0c9db,Little Pepper,73,8.1,38
4bffe248ca1920a1206ced81,Keilly Chinese Restaurant,6,7.2,8
4ce842849f776ea8190b5d22,Chow Chinese Take Out,5,7.5,5
53acac39498e3f6a67265048,Moonstone,32,8.2,11
53794fd211d282a3cce576a2,Little Dumpling 李小籠,100,7.6,31
4bc25d5b4cdfc9b627109621,Northern Manor 同乐轩,44,6.6,17
4c59c1d3d3aee21ea2066955,China King,4,7.0,3
4c5a18e26407d13a1301b428,Panda Garden,6,7.3,3
4bd8e0dae914a5930afa54fa,Chef's Garden,6,7.5,1
4b0ae7a3f964a520c92923e3,Empire Garden,7,7.2,6
5a2b366193bd636532b50bdb,Little Dumpling,10,7.2,1
52951e3d11d22599a056c587,The Hibiscus Restaurant & Lounge II,4,6.0,2
5aef90f3b9b37b002ceb20d4,Panda Express,0,6.7,0
4c6efa6ed7fab1f73b055ac9,Kam's Kitchen,4,5.8,4
4bd08bd8462cb713a392d807,Szechuan Delight,6,7.6,4
4e4e41e8bd4101d0d7a620e0,Magic Wok,13,8.4,8
4eb9c26046906fa3574d411f,Lucky Cornaga,7,7.3,0
4b2bcee2f964a52061bb24e3,Baybridge Szechuan Cuisine,11,7.4,2
4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant,7,6.6,6
4b493b67f964a520e16a26e3,Dave's Chinese Kitchen,2,6.0,7
4b54a474f964a5205ac427e3,Foo On Restaurant,4,5.9,6
4ce49482e571a09332bc8587,Sagar Chinese,17,6.9,15
4ac90140f964a520f7bd20e3,Main Street Taiwanese Gourmet 北港台菜,63,7.5,28
50e9c4b1e4b0541e6c67a2ab,Hly Chinese Cuisine (三人百姓),12,8.2,7
4d1bcddc1356224bc6410abe,OK Ryan,48,8.8,19
4c2bfb622219c928f58ca548,Fukuoka Shabu Shabu,22,7.6,9
4c0ae17b009a0f47f63feabf,Hunan Kitchen Of Grand Sichuan,66,7.7,40
4ac38216f964a520929b20e3,Golden Shopping Mall,104,8.4,53
559f3c6a498e9eb732ee3027,Deng Ji Noodle House 云南过桥米线,6,7.3,1
4f844c6fe4b0059705cb042c,Lake Pavilion Restaurant,117,6.7,41
4e026cd7fa76007240170736,Lan Zhou Hand Made Noodle,33,7.7,20
55a04fb7498e18131da5d46e,Shun Won Flushing Chinese Restaurant,23,7.3,8
4bd8e0dae914a5930afa54fa,Chef's Garden,6,7.5,1
4bca326b511f95210b4bafc7,Danny's Szechuan Garden,18,7.3,14
56316c73498ebdd0e0e53e95,Green Zenphony,19,7.8,7
4c59c1d3d3aee21ea2066955,China King,4,7.0,3
4c0fe9d76b7e2d7f7aca2635,El Jardin De China,44,8.4,22
4cf310ca7e0da1cd731e9b97,Green Garden Chinese Restaurant,3,7.3,4
4be75c8f2468c928fc720243,Tack's Chinese Take Out,7,7.1,8
4bba73677421a593ebd4c340,Jac Mao,23,8.1,12
4c254b83a852c92818ade46c,Crown Palace,4,8.2,4
4c93b85cf244b1f7c6621b1d,Fortune Cookie,8,6.6,6
4c53660372cf0f4768a0c4d2,Happy Fortune II,5,7.1,9
4b6b7476f964a520dd092ce3,Oriental Plaza,38,6.8,33
4c1ad571eac020a10a0144c2,China Hao Restaurant,32,8.7,15
4daa263f0cb6a89c62682125,Hardee,16,8.1,6
5165e9fee4b08d4837e87f35,Empire East,5,7.3,4
4bba73677421a593ebd4c340,Jac Mao,23,8.1,12
5165e9fee4b08d4837e87f35,Empire East,5,7.3,4
4b6b7476f964a520dd092ce3,Oriental Plaza,38,6.8,33
4e3484038877beb5e9a22a0b,Café China,1046,8.8,273
4c254b83a852c92818ade46c,Crown Palace,4,8.2,4
4c93b85cf244b1f7c6621b1d,Fortune Cookie,8,6.6,6
4c1ad571eac020a10a0144c2,China Hao Restaurant,32,8.7,15
4b5a6114f964a52043c128e3,China New Star,58,8.9,19
4ee01ae9f7903c92cd2e0c6a,ChinaTokyo,5,7.0,8
4ce49482e571a09332bc8587,Sagar Chinese,17,6.9,15
4bad4b36f964a520f6423be3,Eastern Chinese,9,6.1,6
4d9a695ee5fd6ea8e3096df5,Lucky House Chinese Restaurant,5,7.6,2
5b350a77c876c8002c4984d7,Little Tong,25,8.2,3
4daa263f0cb6a89c62682125,Hardee,16,8.1,6
4d8151697c956dcb09cff27b,New Jin Shing Chinese Restuarant,6,7.2,4
4be75c8f2468c928fc720243,Tack's Chinese Take Out,7,7.1,8
4c53660372cf0f4768a0c4d2,Happy Fortune II,5,7.1,9
4c14210c7f7f2d7fae69e068,Crown Palace,9,5.8,5
4b46743ff964a520892126e3,"Golden ""Z"" Restaurant",9,7.6,6
4bfb224fd2b720a1a5a9326a,Jade Bamboo,7,7.5,5
4bffe248ca1920a1206ced81,Keilly Chinese Restaurant,6,7.2,8
4c3f7f2eda3dc928b8f6c5b9,Peking Kitchen,9,7.8,2
4d965fd061a3a1cde4989a42,Lucky Star Chinese Restaurant,3,7.4,5
4c72ad2bad69b60cb31b84b9,301 Chinese Resturant,9,6.8,3
4e4e41e8bd4101d0d7a620e0,Magic Wok,13,8.4,8
